brand_name,model_name,wurfl_device_id,wurfl_fall_back,method,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
SonyEricsson,X10a,sonyericsson_x10a_ver1,sonyericsson_x10i_ver1,GooglePlay,5,0,0,5,0,0,0,0,Xperia X10,Android,1.6,2009_november,Android Webkit
SonyEricsson,X10a,sonyericsson_x10a_ver1,sonyericsson_x10i_ver1,NULL,4,0,0,4,0,0,0,0,Xperia X10,Android,1.6,2009_november,Android Webkit
Motorola,MB300,mot_mb300_ver1,generic_android_ver1_5,GooglePlay,1,0,0,1,0,0,0,0,Backflip,Android,1.5,2010_february,Android Webkit
SonyEricsson,E10i,sonyericsson_e10i_ver1,generic_android_ver1_6,CLICKTAG,1,0,0,1,0,0,0,0,Xperia X10 Mini,Android,1.6,2010_february,Android Webkit
Nokia,7020,nokia_7020_ver1,nokia_generic_series40_dp60,CLICKTAG,1,0,0,1,0,0,0,0,,,,2009_may,Nokia
Nokia,7020,nokia_7020_ver1,nokia_generic_series40_dp60,WAP,5,0,0,5,1,0,0,0,,,,2009_may,Nokia
SonyEricsson,U10i,sonyericsson_u10i_ver1_subua2,sonyericsson_u10i_ver1,NULL,3,0,0,3,0,0,0,0,Aino,,,2010_february,Access Netfront
SonyEricsson,U10i,sonyericsson_u10i_ver1_subua2,sonyericsson_u10i_ver1,CLICKTAG,116,0,0,116,5,5,0.043103448275862,0.043103448275862,Aino,,,2010_february,Access Netfront
SonyEricsson,U10i,sonyericsson_u10i_ver1_subua2,sonyericsson_u10i_ver1,WAP,16,0,0,16,4,2,0.125,0.125,Aino,,,2010_february,Access Netfront
HTC,HD2,htc_hd2_ver1_subwp65,htc_hd2_ver1_subie812,NULL,2,0,0,2,0,0,0,0,,Windows Mobile OS,6.5,2009_november,IEMobile
