brand_name,model_name,wurfl_device_id,wurfl_fall_back,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
Nokia,C6-01,nokia_c6_01_ver1_subuaseries53,nokia_c6_01_ver1,19214,15555,12378,6836,235,235,0.012230665140002,0.03437682855471,,Symbian OS,S3,2010_september,Nokia BrowserNG
Nokia,C7-00,nokia_c7_00_ver1_subuaseries53,nokia_c7_00_ver1,69529,55486,44317,25212,851,851,0.012239497188224,0.033753768046962,Astound,Symbian OS,S3,2010_september,Nokia BrowserNG
Nokia,N8-00,nokia_n8_00_ver1_subuaseries53,nokia_n8_00_ver1,5326,4370,3425,1901,79,79,0.014832895230942,0.041557075223566,N8,Symbian OS,S3,2010_april,Nokia BrowserNG
Nokia,5230 Nuron,nokia_5230c_ver1_subuanonu,nokia_5230c_ver1,1,0,0,1,0,0,0,0,Nuron,Symbian OS,9.4,2010_march,Safari
Nokia,C5-05,nokia_c5_05_ver1_subuanonu,nokia_c5_05_ver1,6,0,0,6,2,2,0.333333333333333,0.333333333333333,,Symbian OS,9.4,2011_october,Nokia
Nokia,C5-06,nokia_c5_06_ver1_subuanonu,nokia_c5_06_ver1,16722,13066,9748,6974,299,299,0.017880636287525,0.042873530255234,,Symbian OS,9.4,2011_october,Nokia
Nokia,C3-01,nokia_c3_01_ver1_subua1dot5,nokia_c3_01_ver1,8207,4891,3636,4571,203,203,0.024734982332156,0.044410413476263,,,,2010_september,Nokia
Samsung,SGH-i677,samsung_sgh_i677_ver1,generic_ms_phone_os7_5,8,6,4,4,0,0,0,0,Focus Flash,Windows Phone OS,7.5,2012_march,IEMobile
Samsung,GT-C3330,samsung_gt_c3332_ver1_subuac3330,samsung_gt_c3332_ver1,5,0,0,5,0,0,0,0,,,,2012_february,Access Netfront
Samsung,GT-E2220,samsung_gt_e2220_ver1,generic_netfront_ver4_1,1,1,1,0,0,0,0,0,Chat 222,,,2002_july,Access Netfront
